Name,Lyrics
จะเก็บเธออยู่ในใจเสมอ,และนี่คือเสียง เสียงเพลงที่มาจากใจ เธอจะอยู่ที่ไหน ขอจงได้รับรู้หากเธอมีทุกข์ ร้อนใดตอนที่ฉันไม่อยู่อยากให้เธอรู้ ว่ายังมี ฉันยืนอยู่ข้างเธอจะยืนอยู่ตรงนี้ จะรอเธอตรงนี้ เพื่อเธอคนเดียวไม่ว่าทางจะคดเคี้ยว ทางจะลดเลี้ยวเท่าไรจะนานสักเพียงไหน ยาวนานสักเพียงไหนจะนาน นานเท่าไหร่ยังคงเก็บเธอไว้ จะเก็บเธออยู่ในใจเสมออยู่ในใจเสมอ อยู่ในใจเสมออยู่ในใจเสมอ อยู่ในใจเสมอ
เจ้าหญิง,ในคืนที่ฟ้านี้มีแต่ความมืดของดาว รู้สึกเหน็บหนาวเมื่อไม่มีใครเคียงข้างกายอยากให้ท้องฟ้านี้ มีแต่ดาวอันพร่างพรายเติมชีวิตให้มีความหมาย ด้วยใจใครสักคนแล้วเธอก็เข้ามา เปลี่ยนหัวใจที่เคยอ่อนล้าให้มีหวังขอให้ค่ำคืนนี้มีแต่เรา อยู่เคียงใต้แสงดาว และมีความรักให้กันและกันให้เธอเป็นดังเจ้าหญิงในใจฉัน และจะมีเธอเท่านั้นเธอคือนางฟ้าที่เดินเข้ามากลางหัวใจ เติมความสดใสให้กับชีวิตที่มืดมนเปลี่ยนแปลงความรักที่มีแต่ความหมองหม่นเปลี่ยนชีวิตที่เคยสับสน ของคนที่ร้าวรานเพราะเธอได้เข้ามาเปลี่ยนหัวใจ ที่เคยอ่อนล้าให้มีหวังขอให้ค่ำคืนนี้มีแต่เรา อยู่เคียงใต้แสงดาว และมีความรักให้กันและกันให้เธอเป็นดังเจ้าหญิงในใจฉัน และจะมีเธอเท่านั้นที่มีค่า สูงเกินกว่า จะหาคำมาอธิบายขอให้ค่ำคืนนี้มีแต่เรา อยู่เคียงใต้แสงดาว และมีความรักให้กันและกันให้เธอเป็นดังเจ้าหญิงในใจฉัน และจะมีเธอเท่านั้นให้เธอเป็นดังเจ้าหญิงในใจฉันขอให้ค่ำคืนนี้มีแต่เรา อยู่เคียงใต้แสงดาว และมีความรักให้กันและกันให้เธอเป็นดังเจ้าหญิงในใจฉัน และจะมีเธอเท่านั้น
ฉันดีใจที่มีเธอ,ในโลกที่มี ความวกวนในโลกที่ทุกคนต้องดิ้นรนที่สับสน ร้อนรนจนใจ นั้นแสนเหนื่อยในโลกที่ความทุกข์ท้อใจได้เดินผ่านเข้ามาเรื่อยๆจนบางครั้งไม่รู้จะข้ามไปเช่นไรแต่ยิ่งชีวิต ยิ่งผ่าน ยิ่งได้พบ ยิ่งเจอกลับทำให้ฉันยิ่งคิด ในใจแน่ใจฉันดีใจทีมีเธอ ฉันดีใจที่เจอเธอเธอคือกำลังใจเดียวที่มี ไม่ว่านาทีไหนๆฉันดีใจที่มีเธอ แม้จะต้องพบ อะไรฉันก็รู้และฉันอุ่นใจว่าฉันนั้นจะมีเธออยู่ ตรงนี้ในอุปสรรค ที่มากมายในความหวาดหวั่น ที่วุ่นวายในอนาคต ในปัจจุบัน และอดีตในความเป็นจริงที่ต้องเจอที่ไม่เคยพ้นไปซักทียังไม่รู้พรุ่งนี้ต้องเจอกับเรื่องใดฉันดีใจที่มีเธอ ฉันดีใจที่เจอเธอ เธอคือกำลังใจเดียวที่มี ไม่ว่านาทีไหนๆฉันดีใจที่มีเธอ แม้จะไม่เหลือใครๆ ฉันก็รู้ และฉันอุ่นใจว่าฉันนั้นจะมีเธออยู่ตรงนี้ ฉันก็รู้ และฉันอุ่นใจว่าฉันนั้นจะมีเธออยู่กับฉัน
ผมแอบชอบคุณอยู่,ผมขอเวลาบอกความจริงที่ผมซ่อนไว้ข้างใน ขอให้คุณฟังจนจบเพลงได้หรือไม่ และหากฟังจบแล้ว และก็มีแต่คุณที่ชอบผมอยู่ เป็นสิ่งเดียวในโลกที่อยากจะให้คุณรู้ ตั้งแต่พบกัน ไม่ต้องกังวล และอย่าเพิ่งสับสน กับสิ่งที่ผมพูดออกไป ผมขอเวลา ช่วยฟังจนจบเพลงได้หรือไม่ คือผมแอบชอบคุณอยู่ และก็มีแต่คุณที่ผมชอบอยู่ เป็นสิ่งเดียวในโลกที่อยาก จะให้คุณรู้ ตั้งแต่พบกัน ผมชอบคุณอยู่ และก็มีแต่คุณที่ทำให้ผมไหวหวั่น ไม่ได้มีอะไรมากกว่านั้น นอกจากชอบคุณ และผมจะไม่ขอ และผมจะไม่ถาม จะไม่ทำให้คุณวุ่นวาย และขอสัญญาว่าจะพูดเป็นครั้งสุดท้าย
หัวใจผูกกัน,วันเวลาดี ๆ เหล่านั้น เธอยังคงจำมันได้ไหมวันที่เคยร่วมทุกข์และสุขจนล้นหัวใจวันที่เราได้ผ่านมาด้วยกันแต่ว่าเวลาที่ผ่านพ้นไปอาจจะทำให้ใจของใครลืมสิ่งนั้นอยากจะมีเพลง เพลงนึงถ่ายทอดเรื่องราวเป็นพัน ๆ ให้เธอรู้ให้ทุก ๆ ครั้งที่ได้ฟังเพลงนี้ก็ขอให้รู้ ที่แห่งนี้นั้นยังมีรักอยู่เคยเป็นยังไงในตอนนี้ขอให้รู้จะไม่มีเปลี่ยนไปและทุก ๆ ครั้งที่ได้ฟังเพลงนี้ก็ขอให้รู้ที่ตรงนี้ไม่ว่าจะนาน เท่าไหร่เราจะมีกันและกัน เป็นหนึ่งในดวงใจตลอดไปก็เพราะหัวใจเราผูกกันวันที่เราไม่เคย ย่อท้อ วันที่เราต่างมีความฝันและทำทุก ๆ สิ่งด้วยหัวใจเดียวกันเธอยังคงจำมันได้ใช่ไหมแต่ว่าเวลาที่ผ่านพ้นไปอาจจะทำให้ใจของใครลืมสิ่งนี้อยากจะมีเพลงเพลงนึงตอบเรื่องราวที่ดีดีเตือนให้รู้ให้ทุก ๆ ครั้งที่ได้ฟังเพลงนี้ก็ขอให้รู้ ที่แห่งนี้นั้นยังมีรักอยู่เคยเป็นยังไงในตอนนี้ขอให้รู้ว่าจะไม่มีเปลี่ยนไปและทุก ๆ ครั้งที่ได้ฟังเพลงนี้ก็ขอให้รู้ที่ตรงนี้ไม่ว่าจะนาน เท่าไหร่เราจะมีกันและกัน เป็นหนึ่งในดวงใจตลอดไปก็เพราะหัวใจเราผูกกันให้ทุก ๆ ครั้งที่ได้ฟังเพลงนี้ก็ขอให้รู้ ที่แห่งนี้นั้นยังมีรักอยู่เคยเป็นยังไงในตอนนี้ขอให้รู้ว่าจะไม่มีเปลี่ยนไปและทุก ๆ ครั้งที่ได้ฟังเพลงนี้ก็ขอให้รู้ที่ตรงนี้ไม่ว่าจะนาน เท่าไหร่เราจะมีกันและกัน เป็นหนึ่งในดวงใจตลอดไปก็เพราะหัวใจเราผูกกันเราจะมีกันและกัน เป็นหนึ่งในดวงใจตลอดไปก็เพราะหัวใจเราผูกกัน
ห่างไกลเหลือเกิน,เวลามองขึ้นไปบนฟ้า ฉันนั้นเห็นแต่ภาพเธอ อยู่ไกลกันจนสุดสายตารอคอยวันที่จะกลับมาหา ถึงแม้ มันจะแสนนาน แสนนานแค่ไหนอยากจะขอให้ได้พบ แค่เพียงขอให้ได้พบ อยากจะรู้ว่าเธอเองเป็นเช่นไร เธอจะคิดถึงฉันหรือเปล่า เธอจะเหงาบ้างหรือเปล่า จะรู้สึกแตกต่างกับฉันบ้างไหม เพราะว่าเราห่าง ไกลกันเหลือเกิน คิดถึงแต่เธอนั้น เฝ้าแต่นับให้ถึงวันที่เรานั้นได้พบกัน เราช่างห่าง ไกลกันเหลือเกิน ฉันเองก็ไม่รู้ เมื่อไรจะได้พบเธอ เวลามองขึ้นไปบนฟ้า ฉันนั้นได้แต่ถอนใจ น้ำตาก็ไหลซึมออกมา เราไกลกันอยู่คนละฟากฟ้า ไม่รู้จะอีกนานไหม และฉันเองก็จะคอย อยากจะขอให้ได้พบ แค่เพียงขอให้ได้พบ อยากจะรู้ว่าเธอเองเป็นเช่นไร เธอจะคิดถึงฉันหรือเปล่า เธอจะเหงาบ้างหรือเปล่า จะรู้สึกแตกต่างกับฉันบ้างไหม เพราะว่าเราห่าง ไกลกันเหลือเกิน คิดถึงแต่เธอนั้น เฝ้าแต่นับให้ถึงวันที่เรานั้นได้พบกัน เราช่างห่าง ไกลกันเหลือเกิน ฉันเองก็ไม่รู้ เมื่อไรจะได้พบธอ กลัววันเวลา พาหัวใจเธอเปลี่ยนจากฉันไปอยากจะพบให้ใกล้ๆ ให้ตัวฉันได้มั่นใจ ว่าทุกสิ่งจะไม่เปลี่ยนไปจากนี้ เพราะว่าเราห่าง ไกลกันเหลือเกิน คิดถึงแต่เธอนั้น เฝ้าแต่นับให้ถึงวันที่เรานั้นได้พบกัน เราช่างห่าง ไกลกันเหลือเกิน ฉันเองก็ไม่รู้ เมื่อไรจะได้พบเธอ เพราะว่าเราห่าง ไกลกันเหลือเกิน คิดถึงแต่เธอนั้น เฝ้าแต่นับให้ถึงวันที่เรานั้นได้พบกัน เราช่างห่าง ไกลกันเหลือเกิน ฉันเองก็ไม่รู้ เมื่อไรจะได้พบเธอ
เหมือนเคย,ยิ้มที่ดูสดใส กับหัวใจที่อ่อนหวานท่าทางเธอแบบนั้น ดูเท่าไรไม่เคยเบื่อ แม้เวลาจะพ้นไป นานสักเท่าไร เธอยังคงสดใสได้อย่างเหลือเชื่อ เสียงหัวเราะในวันนั้น ฉันยังจำถึงวันนี้ นึกทีไรรู้สึกดี และดีทุกๆ เมื่อ แม้เวลาจะพ้นไป นานสักเท่าไร ไม่เคยมีวันไหนที่ฉันจะเบื่อเลย ต่อให้โลกจะหมุนสักเท่าไร เธอยังคงสดใสอ่อนหวานเหมือนเคย ต่อให้ใครจะสวยเท่าไร รู้ไหมว่าฉันเฉยๆ ก็เพราะว่าเธอน่ารักทุกๆ วัน จนไม่อาจเปลี่ยนใจฉันที่มีให้เธอได้เลย ฉันก็คงต้องบอก ฉันรักเธอ เหมือนเคย ทุกอย่างช่างดูเหมือนฝัน ตั้งแต่เราได้พบกัน เธอเติมให้ฉันเต็มโดยไม่ต้องเอ่ย แม้เวลาจะพ้นไป นานสักเท่าไร ไม่เคยมีวันไหนที่ฉันจะเบื่อเลย ต่อให้โลกจะหมุนสักเท่าไร เธอยังคงสดใสอ่อนหวานเหมือนเคย ต่อให้ใครจะสวยเท่าไร รู้ไหมว่าฉันเฉยๆ ก็เพราะว่าเธอน่ารักทุกๆ วัน จนไม่อาจเปลี่ยนใจฉันที่มีให้เธอได้เลย ฉันก็คงต้องบอก ฉันรักเธอ เหมือนเคย ก็เพราะว่าเธอน่ารักทุกๆ วัน จนไม่อาจเปลี่ยนใจฉันที่มีให้เธอได้เลย ฉันก็คงต้องบอก ฉันรักเธอ เหมือนเคย ต่อให้โลกจะหมุนสักเท่าไร เธอยังคงสดใสอ่อนหวานเหมือนเคย ต่อให้ใครจะสวยแค่ไหน รู้ไหมสำหรับฉันนั้นยังเฉยๆ ก็เพราะว่าเธอน่ารักขึ้นทุกวัน จนไม่อาจเปลี่ยนใจฉันที่มีให้เธอได้เลย ฉันก็คงต้องบอก ฉันรักเธอ เหมือนเคย
คนข้างล่าง,ฉันควรทำอย่างไร กับรักที่ไม่มีทางอยากรู้ว่าจะมีใครไหม ที่มีความรักแล้วต้องเก็บเอาไว้ และเมื่อได้พบทีไร ถึงแม้ดีใจ ก็ต้องฝืนทำตัวเหินห่าง ทั้งที่หัวใจอยากบอก แต่ก็ดูเหมือนมีอะไรมาขวาง จะต้องทำอย่างไร กับรักที่ แม้จะรักเธอเท่าไหร่ ฉันก็ต้องคอยบังคับใจฉันให้เหินห่าง ทั้งที่ใจตัวเอง อยากระบายให้เธอรู้บ้าง และเธอสูงเกินจะใฝ่ เธอคงจะไม่สนใจในคนข้างล่าง ที่เขาเฝ้ามองอยู่ ถึงแม้ไม่มีความหวัง อยากรู้ว่าจะมีใครไหม ที่มีความรักแล้วต้องเก็บเอาไว้ และเมื่อได้พบทีไร ถึงแม้ดีใจ ก็ต้องฝืนทำตัวเหินห่าง ทั้งที่หัวใจอยากบอก แต่ก็ดูเหมือนมีอะไรมาขวาง จะต้องทำอย่างไร กับรักที่ แม้จะรักเธอเท่าไหร่ ฉันก็ต้องคอยบังคับใจฉันให้เหินห่าง ทั้งที่ใจตัวเอง อยากระบายให้เธอรู้บ้าง และเธอสูงเกินจะใฝ่ เธอคงจะไม่สนใจในคนข้างล่าง ที่เขาเฝ้ามองอยู่ ถึงแม้ไม่มีความหวัง จะต้องทำอย่างไร กับรักที่ไม่มีหนทาง แม้จะรักเธอเท่าไหร่ ฉันก็ต้องคอยบังคับใจฉันให้เหินห่างทั้งที่ใจตัวเอง อยากระบายให้เธอรู้บ้าง และเธอสูงเกินจะใฝ่ เธอคงจะไม่สนใจในคนข้างล่าง ที่เขาเฝ้ามองอยู่ ถึงแม้ไม่มีความหวัง และเธอสูงเกินจะใฝ่ เธอคงจะไม่สนใจในคนข้างล่าง ที่เขาเฝ้ามองอยู่ ถึงแม้ไม่มีความหวัง ก็ได้แค่มองดู เพราะเขาทำได้เท่านั้น
ลูกอม,ในคืนที่ฟ้านั้นเต็มไปด้วยแสงไฟ เราโอบกอดกันและมองไปบนฟ้าไกล สุดหัวใจ สุดสายตา มีแต่เรา ดวงจันทร์ล่องลอยและมอบความรักให้กันขอบคุณวันนี้ที่คอยดูแลรักฉัน จากหัวใจ จากนี้ไป มีแต่เธอ ฉันไม่รู้ว่าวันพรุ่งนี้ ดวงดาวจะหายไปไหน ฉันไม่รู้ว่าวันพรุ่งนี้ท้องฟ้าจะเป็นเช่นไร แต่ฉันก็รู้หัวใจของฉัน จะมีเพียงเธอ รักเพียงแต่เธอ โอบกอดเธอด้วยรัก รักที่ห่วงใย ใจฉันให้เธอ มันเป็นของเธอรู้ไหม ทุกคำมันกลั่นออกมาจากหัวใจ เราจะลอยข้ามฟ้า ท่ามกลางหมู่ดาว จะไม่มีความเหงา เข้ามากล้ำกลาย เพลงนี้เพื่อเธอ มันเป็นของเธอรู้ไหม สัญญาจะดูแลเธอจากนี้ ตลอดไป แม้มีบางครั้งฉันทำให้เธอเสียใจ แต่ทุก ๆ ครั้งเธอพร้อมจะมองข้ามไป เธอเข้าใจ ให้อภัย คนอย่างฉัน ต่อให้โลกสลาย หายไปกับตา ต่อให้ดาวบนฟ้า ลบเลือนห่างไกล ใจฉันให้เธอ มันเป็นของเธอรู้ไหม ทุกคำมันกลั่นออกมาจากหัวใจ เราจะลอยข้ามฟ้า ท่ามกลางหมู่ดาว จะไม่มีความเหงา เข้ามากล้ำกลาย เพลงนี้เพื่อเธอ มันเป็นของเธอรู้ไหม สัญญาจะดูแลเธอจากนี้ ตลอดไป
ร่มสีเทา,ฉันเฝ้าถามความสุขอยู่ที่ไหน ชายที่เขาเดินผ่านฉันเข้ามา บอกกับฉันขอร่มสักคัน แต่ว่าที่มือเขาก็มีหนึ่งคัน ก็แปลกใจ ท่ามกลางหยดฝนโปรยปราย เขาก็ถามฉันว่าอยากสุขไหม ลองหุบร่มในมือสักพักหนึ่ง และเงยหน้ามองวันเวลา มองหยดน้ำที่มันกระทบตา ยังเปียกอยู่ใช่ไหม หรือไม่มีฝน บนท้องฟ้าไม่มีอะไรแน่นอน ถ้ามองจากตรงนี้ เดี๋ยวก็มืดแล้วก็สว่าง อาจจะมีฝนก่อเป็นพายุ หรือลมลอยปลิวอยู่แค่นั้น สุขที่เคยเดินทางตามหามานาน ไม่ได้ไกลที่ไหน อยู่แค่นี้เอง ยิ้มฉันยิ้มมากกว่าทุกครั้ง สุขที่ฉันตามหามาแสนนาน อยู่ตรงนี้แค่เพียงเข้าใจ อย่าไปยึดถือมันและกอดไว้ ก็แค่ร่มเท่านั้น เท่านั้น บนท้องฟ้าไม่มีอะไรแน่นอน ถ้ามองจากตรงนี้ เดี๋ยวก็มืดแล้วก็สว่าง อาจจะมีฝนก่อเป็นพายุ หรือลมลอยปลิวอยู่แค่นั้น สุขที่เคยเดินทางตามหามานาน ไม่ได้ไกลที่ไหน อยู่แค่นี้เอง ฉันเห็นเธอถือร่มผ่านมา เต็มไปด้วยร่องรอยและคราบน้ำตา ฉันได้เห็นแล้วมันปวดใจ ไม่ใช่เพียงแค่เธอที่ทุกข์ ฉันก็เป็นเหมือนเธอ เธอได้ยินไหม อยากขอให้เธอลองโยนร่มที่ถือเอาไว้หนัก โยนมันออกไป บนท้องฟ้าไม่มีอะไรแน่นอน ถ้ามองจากตรงนี้ เดี๋ยวก็มืดแล้วก็สว่าง อาจจะมีฝนก่อเป็นพายุ หรือลมลอยปลิวอยู่แค่นั้น สุขที่เคยเดินทางตามหามานานไม่ได้ไกลที่ไหน อย่าไปยึด อย่าไปถือ อย่าไปเอามากอดไว้ ก็จะไม่เสียใจ ตลอดชีวิต ต้องผ่านการเปลี่ยนแปลง ไม่ว่าใคร จะทุกข์ จะสุขแค่ไหน ก็อยู่ที่จะมอง
